season,week,bankroll,bets
2019,1,9888.265428423538,9
2019,2,9845.685560396634,9
2019,3,9728.684476597267,9
2019,4,9986.142457478554,9
2019,5,10057.722772938625,9
2019,6,9900.34348976269,9
2019,7,9615.530942337049,9
2019,8,9574.125496508657,9
2019,9,9628.215637496485,10
2019,10,9623.432900565695,9
2019,11,9364.002504788396,9
2019,12,9359.35101355826,9
2019,13,9462.538000169967,9
2019,14,9314.45449381267,9
2019,15,9244.56699283348,9
2019,16,9090.592752973012,9
2019,17,9217.48258544778,9
2019,18,9358.613798047007,9
2019,19,9534.314786348205,9
2019,20,9732.779989531446,8
2019,21,9715.846195633318,4
2020,1,9627.019855660468,9
2020,2,9696.025993029607,9
2020,3,9710.978862291233,9
2020,4,9746.962227492986,10
2020,5,9813.96708364907,9
2020,6,9878.109290513874,9
2020,7,9913.143453274644,10
2020,8,10055.79061783986,10
2020,9,9969.068863235023,10
2020,10,9813.106714259195,9
2020,11,10151.266090511288,9
2020,12,10182.93705618716,10
2020,13,10105.559855252712,9
2020,14,9925.932766440435,9
2020,15,9933.286012451355,9
2020,16,9838.336216118096,9
2020,17,9654.466455867156,9
2020,18,9723.675279179326,9
2020,19,9956.433430551844,9
2020,20,10063.957434155545,2
2020,21,10282.499838735448,4
2021,1,10404.160446665459,9
2021,2,10478.737100267248,9
2021,3,10594.268331011608,9
2021,4,10395.71903613119,9
2021,5,10275.801106115909,9
2021,6,10114.99048021443,9
2021,7,10226.470030842962,9
2021,8,10182.43761109617,9
2021,9,10023.091802527071,9
2021,10,9933.598469362796,9
2021,11,9853.387709804434,9
2021,12,9809.272558429078,9
2021,13,9804.399882961914,9
2021,14,9650.97004305485,9
2021,15,9720.147854518998,9
2021,16,9744.419254279459,10
2021,17,9665.711940600604,9
2021,18,9772.239892925494,9
2021,19,9730.159642553983,9
2021,20,9798.155508638352,9
2021,21,9888.164669646289,8
2022,1,9883.273468293128,9
2022,2,9949.864206617634,9
2022,3,10200.166652009499,9
2022,4,10234.739761420926,10
2022,5,10190.667939979086,9
2022,6,10110.232317745624,10
2022,7,9943.099781503557,10
2022,8,10014.401043473881,9
2022,9,9971.278022769571,9
2022,10,10140.253851714328,9
2022,11,10056.597395380351,9
2022,12,10013.343257012077,9
2022,13,9821.152044097604,10
2022,14,9956.980917199688,9
2022,15,9982.387851706075,10
2022,16,10092.419670904457,9
2022,17,9972.486525324062,9
2022,18,9853.992083814483,9
2022,19,9962.595113303194,9
2022,20,9919.695174158098,9
2022,21,9999.403381819848,6
2023,1,10226.142127664269,9
2023,2,10391.250353855774,9
2023,3,10279.490675095622,9
2023,4,10070.814238914942,9
2023,5,10027.464013044486,9
2023,6,10022.506291364956,9
2023,7,10025.894008375131,9
2023,8,10029.229307376057,9
2023,9,10037.496025476667,10
2023,10,10148.121492553932,9
2023,11,10220.86286800068,9
2023,12,10052.560942360396,9
2023,13,10124.617343167787,9
2023,14,10197.219459687798,9
2023,15,10019.965469412375,9
2023,16,10023.274709799984,9
2023,17,10054.79713215737,9
2023,18,9889.236388702184,9
2023,19,10113.478120527841,9
2023,20,10233.47141233632,9
2023,21,10209.824701937408,8
2024,1,10277.89708184627,9
2024,2,10168.788848568647,9
2024,3,10104.2482396109,9
2024,4,10099.243737940807,9
2024,5,9987.31459000782,9
2024,6,9702.048733501699,10
2024,7,9621.50526211296,9
2024,8,9661.162558356154,9
2024,9,9572.550861801607,9
2024,10,9575.607439630694,9
2024,11,9499.23410857925,10
2024,12,9303.365546414369,9
2024,13,9298.744176094595,9
2024,14,9258.702846025126,9
2024,15,9218.833937960539,9
2024,16,9179.136709434293,9
2024,17,9035.488277138262,9
2024,18,8996.580553515343,9
2024,19,9095.733860605555,9
2024,20,9301.979354377627,9
2024,21,9489.059689294276,6
