side,threshold_edge,n_bets_cum,roi_flat_1u_cum
Spread,5.0,502,0.080743214994788
Spread,4.0,739,0.07160508865982385
Spread,3.5,883,0.06527981583436511
Spread,3.0,1052,0.05941003038199104
Spread,2.5,1281,0.05096288202280703
Spread,2.0,1466,0.04637306012801143
Spread,1.5,1664,0.039581296716063544
Spread,1.0,1962,0.02987120438704003
Spread,0.5,2291,0.01953664206212679
Spread,0.0,2291,
Total,5.0,328,0.1933015742950228
Total,4.0,572,0.1500479841800283
Total,3.5,727,0.13163637073876625
Total,3.0,938,0.11619089099897331
Total,2.5,1186,0.10072376825085999
Total,2.0,1512,0.08815798068723615
Total,1.5,1944,0.07383169002292009
Total,1.0,2480,0.05997682903606021
Total,0.5,2809,0.05084602541913417
Total,0.0,2809,
