bet_type,bin,p,hit,n
spread,"(0.3332, 0.5618]",0.5611847300554456,0.5846372688477952,703
spread,"(0.5618, 0.5633]",0.56329254727475,0.5702564102564103,975
spread,"(0.5633, 0.5636]",0.5635942327497427,0.580952380952381,945
spread,"(0.5636, 0.5637]",0.5636683527600618,0.5695695695695696,999
spread,"(0.5637, 0.5664]",0.5664380625803688,0.5534825870646766,804
spread,"(0.5664, 0.5668]",0.5668052884602649,0.5545851528384279,916
spread,"(0.5668, 0.5742]",0.5739152277495885,0.46511627906976744,172
spread,"(0.5742, 0.999]",0.6311838825481247,0.6202090592334495,574
total,"(0.0, 0.484]",0.47946247525493485,0.56,675
total,"(0.484, 0.487]",0.4871244635193134,0.5440806045340051,794
total,"(0.487, 0.49]",0.48986889153754487,0.5376884422110553,398
total,"(0.49, 0.496]",0.4951094651795285,0.4879668049792531,1205
total,"(0.496, 0.499]",0.49949238578680205,0.4705111402359109,763
total,"(0.499, 0.51]",0.5098153737017094,0.4123006833712984,878
total,"(0.51, 0.522]",0.5218120805369126,0.6515837104072398,221
total,"(0.522, 0.542]",0.5363492674587318,0.6129032258064516,558
total,"(0.542, 0.999]",0.579415958061344,0.45805369127516776,596
