season,bet_type,bin,p,hit,n
2019,spread,"(0.565, 0.818]",0.5759561415759356,0.5497076023391813,1026
2019,total,"(0.504, 0.569]",0.5134324502108588,0.49707602339181284,1026
2020,spread,"(0.559, 0.611]",0.5640741985595262,0.5854304635761589,755
2020,spread,"(0.611, 0.99]",0.6524697766763826,0.7142857142857143,63
2020,total,"(0.494, 0.568]",0.5083485376401057,0.5207823960880196,818
2021,spread,"(0.341, 0.565]",0.5650208824670103,0.5509433962264151,795
2021,spread,"(0.565, 0.701]",0.6411666010536591,0.628099173553719,121
2021,total,"(0.499, 0.532]",0.50445104628711,0.5218340611353712,916
2022,spread,"(0.561, 0.714]",0.5683021619500049,0.5789473684210527,1064
2022,total,"(0.493, 0.526]",0.49851329001589734,0.5488721804511278,1064
2023,spread,"(0.5619999999999999, 0.75]",0.568693574430536,0.5674061433447098,1172
2023,total,"(0.497, 0.538]",0.504445516149775,0.5204778156996587,1172
2024,spread,"(0.5619999999999999, 0.786]",0.5681741878807091,0.575091575091575,1092
2024,total,"(0.52, 0.546]",0.5216252151348304,0.4432234432234432,1092
