bucket,n_bets,avg_edge,model_p,emp_p,push_rate,roi_flat_1u
0-0.5,0,,,,,
0.5-1,329,0.7469142769213095,0.5017603970945953,,,-0.042093787364863446
1-1.5,298,1.2308747743386896,0.5110553336513696,,,-0.02434890848374906
1.5-2,198,1.7327253916753638,0.518202041237738,,,-0.010705194000681987
2-2.5,185,2.2610361677007957,0.5314527662911038,,,0.014591644737561917
2.5-3,229,2.7503923334262654,0.5301778122276926,,,0.012157641525594913
3-3.5,169,3.2336404905451723,0.5388644746072732,,,0.028741269704794084
3.5-4,144,3.749515882686428,0.5410003589561774,,,0.03281886709815674
4-5,237,4.452037149826107,0.5511781660668051,,,0.05224922612753692
5+,502,7.294494595694284,0.5661035888067938,,,0.08074321499478801
