"roi","min_edge_spread","n_placed_bets","final_bankroll","weekly_risk_cap","min_ev_spread","sigma_total","kelly_frac","max_drawdown","sigma_spread","per_bet_cap"
"0.2417","1.2","1070","12417.49","0.05","0.012","12","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","10","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","11","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","11","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","10","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","11","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","11","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","10","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","10","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","11","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","12","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","11","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","11","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","10","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","11","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","12","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","11","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","10","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","11","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","11","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","11","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","12","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","12","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","11","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","12","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","10","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","11","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","12","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","12","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","11","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","12","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","11","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","11","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","10","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","11","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","11","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","10","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","10","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","12","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","10","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","12","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.02","11","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","11","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","10","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","10","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","10","0.12","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","12","0.1","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","10","0.12","0.0874","13","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.018","12","0.12","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.012","12","0.1","0.0874","15","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","10","0.1","0.0874","14","0.006"
"0.2417","1.2","1070","12417.49","0.05","0.015","10","0.12","0.0874","14","0.006"
