season,week,bankroll,bets
2019,1,10187.742535478774,9
2019,2,10300.023902623498,9
2019,3,10138.834203302124,9
2019,4,10488.186653189194,9
2019,5,10563.365603663426,9
2019,6,10398.054751807775,9
2019,7,10118.725887866656,9
2019,8,10075.153633862703,9
2019,9,10186.194133783434,9
2019,10,10181.1342256237,9
2019,11,9907.63262126053,9
2019,12,9902.711086241114,9
2019,13,10011.851058647191,9
2019,14,9855.171105566435,9
2019,15,9738.057300407192,9
2019,16,9585.662068797377,9
2019,17,9691.307773753477,9
2019,18,9760.77472464265,9
2019,19,9944.025984146805,9
2019,20,10151.019688637132,8
2019,21,10139.284812024338,4
2020,1,10018.794745113293,9
2020,2,10245.939999971046,9
2020,3,10358.862774263114,9
2020,4,10353.717094376329,9
2020,5,10427.932171815446,9
2020,6,10502.679220301201,9
2020,7,10497.462100777666,9
2020,8,10694.5441158669,9
2020,9,10527.180392567514,9
2020,10,10362.435819329427,9
2020,11,10719.492880100895,9
2020,12,10796.329825417552,9
2020,13,10668.031772135177,9
2020,14,10501.082952408327,9
2020,15,10495.86662581774,9
2020,16,10371.139123288722,9
2020,17,10208.836509944565,9
2020,18,10282.013088485646,9
2020,19,10515.126007040444,9
2020,20,10630.14931929597,2
2020,21,10863.98437315313,4
2021,1,11110.291694741305,9
2021,2,11104.772748718395,9
2021,3,11184.371366488002,9
2021,4,11051.462026303772,9
2021,5,10920.132112636189,9
2021,6,10749.238061474112,9
2021,7,10867.707795186294,9
2021,8,10820.910349565158,9
2021,9,10651.569064329335,9
2021,10,10524.991273778796,9
2021,11,10479.669600056972,9
2021,12,10434.543086032247,9
2021,13,10429.359812573026,9
2021,14,10266.146077518017,9
2021,15,10339.733449009756,9
2021,16,10334.597271457964,9
2021,17,10290.095453508684,9
2021,18,10403.504874834953,9
2021,19,10358.706333797169,9
2021,20,10432.95717392775,9
2021,21,10528.797837124926,8
2022,1,10767.50583832697,9
2022,2,10762.157168358992,9
2022,3,10880.769286409828,9
2022,4,11000.688654887177,9
2022,5,10953.318580274929,9
2022,6,10947.877609355603,9
2022,7,10776.549356456137,9
2022,8,10853.795280574563,9
2022,9,10807.057743644227,9
2022,10,11009.952185829956,9
2022,11,10879.115553843367,9
2022,12,10832.268985263143,9
2022,13,10703.543849414807,9
2022,14,10821.509977094272,9
2022,15,10899.078177349082,9
2022,16,11019.199332169028,9
2022,17,10888.252811832146,9
2022,18,10758.862392866286,9
2022,19,10877.4381984666,9
2022,20,10830.59885274777,9
2022,21,10936.415623183797,6
2023,1,10889.322314727091,9
2023,2,11136.204095952657,9
2023,3,11130.672278157557,9
2023,4,10873.102830389078,9
2023,5,10826.28215320235,9
2023,6,10820.904286583365,9
2023,7,10815.529091375394,9
2023,8,10810.156566251431,9
2023,9,10887.643385659416,9
2023,10,11007.638515107257,9
2023,11,11086.540878130503,9
2023,12,10913.042621470651,9
2023,13,10991.266924478574,9
2023,14,11070.051936520018,9
2023,15,10896.811722711858,9
2023,16,10891.398821109286,9
2023,17,10885.98860832107,9
2023,18,10715.628884190308,9
2023,19,10958.572702861482,9
2023,20,11079.349560025583,9
2023,21,11053.748260144253,8
2024,1,11048.257401607436,9
2024,2,11385.38712930687,9
2024,3,11510.868002807412,9
2024,4,11637.73182880976,9
2024,5,11499.4349851228,9
2024,6,11105.35750935981,9
2024,7,10973.387129379264,9
2024,8,10967.936189573225,9
2024,9,10837.598854163678,9
2024,10,10832.215366066564,9
2024,11,10826.834552172884,9
2024,12,10657.400556430166,9
2024,13,10652.10658035541,9
2024,14,10606.237535305681,9
2024,15,10560.566006989182,9
2024,16,10515.091144878943,9
2024,17,10350.53576170666,9
2024,18,10305.965311011198,9
2024,19,10419.549637552294,9
2024,20,10655.780772947019,9
2024,21,10883.883146842634,6
