season,week,bankroll,bets
2019,1,10134.420595296444,7
2019,2,10153.640697044299,7
2019,3,9980.482805221774,7
2019,4,10349.100153650475,7
2019,5,10408.411750496318,7
2019,6,10428.151481149589,7
2019,7,10211.230582265038,7
2019,8,10348.490551622768,7
2019,9,10608.451352562251,7
2019,10,10751.050787160728,7
2019,11,10407.48055308142,7
2019,12,10347.880985502976,7
2019,13,10527.114750575991,7
2019,14,10587.446564624173,7
2019,15,10406.890645657333,7
2019,16,10307.843127681977,7
2019,17,10446.401768626514,7
2019,18,10428.292484418309,6
2019,19,10410.214593428725,6
2019,20,10398.180079900658,4
2019,21,10273.776253424725,2
2020,1,10175.995650862087,7
2020,2,10312.781990174377,7
2020,3,10451.407019602542,7
2020,4,10391.555902343409,7
2020,5,10411.263665592774,7
2020,6,10351.642433609712,7
2020,7,10611.682411870921,7
2020,8,10672.498890571918,7
2020,9,10857.355303355815,7
2020,10,10877.946463124728,7
2020,11,10940.288924358318,7
2020,12,10961.037369155913,7
2020,13,10898.2677983572,7
2020,14,10794.543601340825,7
2020,15,10981.513928369486,7
2020,16,10876.99743682062,7
2020,17,10691.503582772082,7
2020,18,10752.777523574905,7
2020,19,10814.402630683984,7
2020,20,10873.390281396805,1
2020,21,10992.332590293143,2
2021,1,11268.467121228927,7
2021,2,11333.047690461235,7
2021,3,11397.998376576124,7
2021,4,11332.726501117022,7
2021,5,11139.460746686113,7
2021,6,10949.490902717002,7
2021,7,11012.243391382412,7
2021,8,11288.878094567735,7
2021,9,11310.287644680291,7
2021,10,11245.518054252263,7
2021,11,11528.01276841175,7
2021,12,11461.996351419006,7
2021,13,11483.734223262421,7
2021,14,11244.855649743007,7
2021,15,11180.460762739518,7
2021,16,11330.749181881114,7
2021,17,11137.51714820521,7
2021,18,11201.347231705267,7
2021,19,10884.887941635583,7
2021,20,11031.203253320555,7
2021,21,11273.860428621674,4
2022,1,11557.067121625307,7
2022,2,11578.985296808161,7
2022,3,11734.630706460734,7
2022,4,11622.946430589405,7
2022,5,12052.226233759957,7
2022,6,12214.232976258898,7
2022,7,12237.397477709002,7
2022,8,12167.318692143457,7
2022,9,12051.516311018711,7
2022,10,12213.513510693903,7
2022,11,12236.676647665274,7
2022,12,12259.883713921523,7
2022,13,12143.200345768988,7
2022,14,12448.245421870419,7
2022,15,12471.853731920395,7
2022,16,12543.33101491944,7
2022,17,12423.949938815838,7
2022,18,12305.705071372817,7
2022,19,12518.849951460847,7
2022,20,12687.129077751066,7
2022,21,12603.714848731024,3
2023,1,12627.618009204354,7
2023,2,12797.359202201687,7
2023,3,12870.701985479773,7
2023,4,12507.080259559636,7
2023,5,12578.75942886518,7
2023,6,12459.04116304886,7
2023,7,12674.84194970087,7
2023,8,12458.688061979321,7
2023,9,12246.220413767702,7
2023,10,12316.40457251415,7
2023,11,12339.762844141569,7
2023,12,12222.319226856442,7
2023,13,12292.366405813229,7
2023,14,12505.280249300373,7
2023,15,12151.982380039197,7
2023,16,12315.330050594872,7
2023,17,12198.118972272667,7
2023,18,11853.498991273891,7
2023,19,11875.979354560384,7
2023,20,12035.61697601721,7
2023,21,12160.237804375462,4
2024,1,12044.502815556676,7
2024,2,12347.068545624332,7
2024,3,12370.484972000477,7
2024,4,12536.769767404681,7
2024,5,12417.451137934113,7
2024,6,12205.68673489789,7
2024,7,12089.519186161244,7
2024,8,12112.447165778402,7
2024,9,11860.49043771957,7
2024,10,12019.919856234175,7
2024,11,11905.520342627344,7
2024,12,11792.20962569054,7
2024,13,11859.791808958316,7
2024,14,11882.284106681027,7
2024,15,11679.646321147795,7
2024,16,11480.464274574948,7
2024,17,11371.199026162263,7
2024,18,11392.764699327574,7
2024,19,11284.334131085127,7
2024,20,11612.077521576724,7
2024,21,11668.665612915973,3
