bucket,n_bets,avg_edge,model_p,emp_p,push_rate,roi_flat_1u
0-0.5,0,,,,,
0.5-1,329,0.8106609286055185,0.5143904245653645,,,-0.01798191673884947
1-1.5,536,1.245001210754772,0.5289046763196161,,,0.009727109337449021
1.5-2,432,1.7401618091425253,0.5362183999845692,,,0.023689672697813986
2-2.5,326,2.2440673806773925,0.5460416672786143,,,0.042443182986445206
2.5-3,248,2.73631349606621,0.545926395405782,,,0.04222311850194752
3-3.5,211,3.2163178497766864,0.5567956570818084,,,0.06297352715617974
3.5-4,155,3.7188493365253197,0.5571717789054303,,,0.06369157791036703
4-5,244,4.459137894719006,0.5719496167846011,,,0.09190381386151118
5+,328,6.874917814175917,0.625062729392631,,,0.1933015742950228
