scope,bin,p,hit,n
spread,"(0.3332, 0.5633]",0.5624094748640402,0.5762812872467223,1678
spread,"(0.5633, 0.5636]",0.5635942327497427,0.580952380952381,945
spread,"(0.5636, 0.5637]",0.5636683527600618,0.5695695695695696,999
spread,"(0.5637, 0.5664]",0.5664380625803688,0.5534825870646766,804
spread,"(0.5664, 0.5668]",0.5668052884602649,0.5545851528384279,916
spread,"(0.5668, 0.999]",0.6179798495382746,0.5844504021447721,746
total,"(0.0, 0.487]",0.4836038085986493,0.5513955071477196,1469
total,"(0.487, 0.49]",0.48986889153754487,0.5376884422110553,398
total,"(0.49, 0.496]",0.4951094651795285,0.4879668049792531,1205
total,"(0.496, 0.499]",0.499492385786802,0.4705111402359109,763
total,"(0.499, 0.51]",0.5098153737017094,0.4123006833712984,878
total,"(0.51, 0.539]",0.530086852026933,0.6322378716744914,639
total,"(0.539, 0.999]",0.5722958880434523,0.48233695652173914,736
