scope,season,bin,p,hit,n
2019_spread,2019,"(0.566, 0.999]",0.575766652382417,0.5497076023391813,1026
2020_spread,2020,"(0.332, 0.562]",0.561518884373028,0.5834522111269614,701
2020_spread,2020,"(0.562, 0.597]",0.5970162348683206,0.6,15
2020_spread,2020,"(0.597, 0.999]",0.6225528392228766,0.6764705882352942,102
2021_spread,2021,"(0.332, 0.566]",0.5661484914881364,0.5540372670807453,805
2021_spread,2021,"(0.566, 0.695]",0.6370645722107521,0.6126126126126126,111
2022_spread,2022,"(0.5619999999999999, 0.675]",0.5680045868863489,0.5789473684210527,1064
2023_spread,2023,"(0.563, 0.733]",0.5695538433407608,0.5674061433447098,1172
2024_spread,2024,"(0.554, 0.564]",0.563659478357454,0.57,1000
2024_spread,2024,"(0.564, 0.733]",0.6112285293541888,0.6304347826086957,92
2019_total,2019,"(0.498, 0.537]",0.5012010377106886,0.4831038798498123,799
2019_total,2019,"(0.537, 0.539]",0.5386497921464853,0.5838509316770186,161
2019_total,2019,"(0.539, 0.857]",0.5866704049538234,0.45454545454545453,66
2020_total,2020,"(0.471, 0.484]",0.4841593270370361,0.5602409638554217,664
2020_total,2020,"(0.484, 0.576]",0.5748381961687136,0.3466666666666667,150
2020_total,2020,"(0.576, 0.999]",0.812,0.5,4
2021_total,2021,"(0.0, 0.49]",0.4826084624553041,0.5346534653465347,404
2021_total,2021,"(0.49, 0.493]",0.4931324767390344,0.4810810810810811,370
2021_total,2021,"(0.493, 0.588]",0.5425734080182089,0.5915492957746479,142
2022_total,2022,"(0.486, 0.531]",0.49677214829384747,0.5485714285714286,1050
2022_total,2022,"(0.531, 0.999]",0.6745641121131776,0.5714285714285714,14
2023_total,2023,"(0.495, 0.522]",0.5013865523574569,0.5231350330500472,1059
2023_total,2023,"(0.522, 0.999]",0.5852912531604462,0.49557522123893805,113
2024_total,2024,"(0.363, 0.51]",0.5096731330749507,0.4261904761904762,840
2024_total,2024,"(0.51, 0.553]",0.5529804251138818,0.5135135135135135,222
2024_total,2024,"(0.553, 0.75]",0.6756765196674489,0.4,30
